epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,7615736876173.382,7615742000000.0,766062046662.9661,766061900000.0
1,887216113296.9875,887215360000.0,527415587265.48456,527415640000.0
2,677967356703.0221,677967200000.0,539298483748.935,539298330000.0
3,652210494262.9719,652210100000.0,465280544468.3436,465280700000.0
4,606479668897.8894,606479450000.0,500814288999.8878,500814400000.0
5,601577442864.2748,601577600000.0,544429476080.6648,544429600000.0
6,587273469483.1847,587273300000.0,413048928625.089,413049130000.0
7,581946047146.2751,581946400000.0,422014071232.17944,422013900000.0
8,585078929845.622,585078730000.0,421109740111.48206,421109830000.0
9,549182186275.19867,549182340000.0,655702086259.5034,655702160000.0
10,560011465878.7792,560011740000.0,402770698346.10657,402770800000.0
11,562759208094.806,562759400000.0,739017204930.4634,739017200000.0
12,549351491723.3264,549351160000.0,481880922455.83484,481880970000.0
13,553485815593.8224,553485900000.0,499099228841.27454,499099440000.0
14,563049543726.2681,563049500000.0,409931864454.0362,409932000000.0
15,549440239272.4805,549440360000.0,395360963911.58606,395360930000.0
16,538978403516.4985,538978220000.0,398694826870.43994,398694700000.0
17,540700807745.6498,540701130000.0,400770148369.22766,400770140000.0
18,520419648505.6373,520419380000.0,438174358685.3979,438174420000.0
19,546453634508.6907,546453400000.0,407181242460.9248,407181260000.0
20,533246761778.2733,533246480000.0,395064274594.7489,395064300000.0
21,530374476998.0262,530374560000.0,396752035218.04333,396751960000.0
22,526861614925.97546,526861800000.0,436661188981.0533,436661200000.0
23,509904429019.9774,509904220000.0,388061110110.1647,388061130000.0
24,522911605843.88947,522911380000.0,400099045215.9918,400099080000.0
25,527339930286.77795,527339700000.0,416760286988.725,416760370000.0
26,519394928217.45276,519394800000.0,401472039773.3816,401471900000.0
27,507204819098.3358,507204900000.0,522003331699.5034,522003350000.0
